City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
0,Primorsk,UA,2022-05-21 02:52:54,46.7348,36.3443,57.87,73,97,17.29
1,Jaque,PA,2022-05-21 02:52:54,7.5175,-78.1703,77.02,89,100,2.71
2,Rikitea,PF,2022-05-21 02:52:55,-23.1203,-134.9692,74.14,77,7,7.63
3,Bredasdorp,ZA,2022-05-21 02:52:55,-34.5322,20.0403,50.04,84,37,6.13
4,Taltal,CL,2022-05-21 02:52:56,-25.4,-70.4833,62.78,67,88,2.93
5,Mataura,NZ,2022-05-21 02:52:56,-46.1927,168.8643,43.34,90,100,14.81
6,Padang,ID,2022-05-21 02:52:56,-0.9492,100.3543,84.58,67,96,2.77
7,Butaritari,KI,2022-05-21 02:52:57,3.0707,172.7902,81.5,72,63,12.62
8,Hermanus,ZA,2022-05-21 02:52:57,-34.4187,19.2345,56.19,74,38,4.03
9,Birjand,IR,2022-05-21 02:52:58,32.8663,59.2211,74.86,19,1,3.02
10,New Norfolk,AU,2022-05-21 02:52:58,-42.7826,147.0587,54.91,57,10,0.98
11,Marawi,PH,2022-05-21 02:52:59,7.9986,124.2928,72.97,91,100,1.28
12,Saint-Pierre,RE,2022-05-21 02:52:59,-21.3393,55.4781,69.91,78,0,10.71
13,Bluff,NZ,2022-05-21 02:53:00,-46.6,168.3333,46.49,76,94,35.41
14,Ulaangom,MN,2022-05-21 02:53:00,49.9811,92.0667,65.37,37,6,5.03
15,Sitges,ES,2022-05-21 02:53:01,41.2351,1.8119,73.17,33,26,4.03
16,Nabire,ID,2022-05-21 02:53:01,-3.3667,135.4833,85.15,69,21,5.03
17,Kodiak,US,2022-05-21 02:53:01,57.79,-152.4072,44.76,85,100,21.41
18,Adrar,MR,2022-05-21 02:53:02,20.5022,-10.0711,84.22,11,93,9.82
19,Cidreira,BR,2022-05-21 02:51:47,-30.1811,-50.2056,53.47,84,5,5.61
20,Broken Hill,AU,2022-05-21 02:53:03,-31.95,141.4333,61.07,69,84,15.01
21,Cape Town,ZA,2022-05-21 02:51:32,-33.9258,18.4232,54.91,88,27,1.01
22,Liverpool,GB,2022-05-21 02:53:04,53.4106,-2.9779,54.28,79,63,5.99
23,Sitka,US,2022-05-21 02:48:18,57.0531,-135.33,58.71,55,15,2.55
24,Longyearbyen,SJ,2022-05-21 02:53:04,78.2186,15.6401,31.77,91,100,6.73
25,Dikson,RU,2022-05-21 02:53:05,73.5069,80.5464,29.59,86,91,8.1
26,Yar-Sale,RU,2022-05-21 02:53:05,66.8333,70.8333,32.56,86,100,19.62
27,Yulara,AU,2022-05-21 02:51:09,-25.2406,130.9889,69.28,37,67,10.49
28,Zalantun,CN,2022-05-21 02:53:06,48.0,122.7167,70.34,32,11,6.62
29,Kendallville,US,2022-05-21 02:53:06,41.4414,-85.265,80.62,57,75,14.97
30,Tondano,ID,2022-05-21 02:53:07,1.3038,124.9112,76.71,82,77,3.15
31,Puerto Del Rosario,ES,2022-05-21 02:53:08,28.5004,-13.8627,65.05,82,6,16.31
32,Plettenberg Bay,ZA,2022-05-21 02:53:08,-34.0527,23.3716,54.55,82,65,6.58
33,Scarborough,GB,2022-05-21 02:50:20,54.2797,-0.4044,49.33,89,7,3.0
34,Shevchenkove,UA,2022-05-21 02:53:09,49.6959,37.1735,50.27,97,100,10.29
35,Albany,US,2022-05-21 02:53:10,42.6001,-73.9662,67.73,83,100,3.0
36,Punta Arenas,CL,2022-05-21 02:53:10,-53.15,-70.9167,41.11,93,100,9.1
37,Qaanaaq,GL,2022-05-21 02:53:11,77.484,-69.3632,13.05,87,97,4.59
38,Tyumentsevo,RU,2022-05-21 02:53:11,53.3224,81.498,70.3,39,56,6.11
39,Vaini,TO,2022-05-21 02:51:10,-21.2,-175.2,76.44,73,98,10.31
40,Victoria,HK,2022-05-21 02:50:02,22.2855,114.1577,85.32,71,63,5.01
41,Mollendo,PE,2022-05-21 02:53:12,-17.0231,-72.0147,63.63,87,91,7.52
42,Kapaa,US,2022-05-21 02:51:05,22.0752,-159.319,76.48,91,36,3.0
43,Asau,RO,2022-05-21 02:51:42,46.4333,26.4,49.28,76,7,6.91
44,Tautira,PF,2022-05-21 02:54:13,-17.7333,-149.15,79.16,71,3,6.96
45,Warrensburg,US,2022-05-21 02:51:08,38.7628,-93.7361,63.25,61,100,10.42
46,Prado,BR,2022-05-21 02:54:14,-17.3411,-39.2208,67.41,73,4,4.65
47,Jamestown,US,2022-05-21 02:54:14,42.097,-79.2353,73.71,87,100,3.0
48,Faanui,PF,2022-05-21 02:54:15,-16.4833,-151.75,80.44,71,21,8.14
49,Alta Gracia,AR,2022-05-21 02:54:15,-31.6529,-64.4283,52.88,46,84,4.41
50,Tura,IN,2022-05-21 02:54:16,25.5198,90.2201,79.57,83,16,5.23
51,Tolaga Bay,NZ,2022-05-21 02:54:16,-38.3667,178.3,61.54,57,1,15.75
52,Torbay,CA,2022-05-21 02:51:06,47.6666,-52.7314,41.76,84,14,1.01
53,Ushuaia,AR,2022-05-21 02:51:06,-54.8,-68.3,42.01,95,100,5.64
54,Port Alfred,ZA,2022-05-21 02:54:17,-33.5906,26.891,60.8,75,100,5.21
55,Lebu,CL,2022-05-21 02:54:18,-37.6167,-73.65,50.0,91,48,7.2
56,Hobart,AU,2022-05-21 02:50:24,-42.8794,147.3294,55.26,76,11,1.01
57,Nishihara,JP,2022-05-21 02:54:18,26.1842,127.7558,77.68,78,62,15.3
58,Dombarovskiy,RU,2022-05-21 02:54:19,50.7587,59.5386,44.71,85,99,19.28
59,Saskylakh,RU,2022-05-21 02:54:19,71.9167,114.0833,32.67,97,90,8.19
60,Tuatapere,NZ,2022-05-21 02:54:20,-46.1333,167.6833,46.42,82,98,22.15
61,College,US,2022-05-21 02:54:20,64.8569,-147.8028,75.0,26,9,1.01
62,Puerto Ayora,EC,2022-05-21 02:54:21,-0.7393,-90.3518,72.55,95,5,4.0
63,Mizan Teferi,ET,2022-05-21 02:54:21,6.9833,35.5833,61.43,88,70,3.29
64,Saint-Philippe,RE,2022-05-21 02:54:22,-21.3585,55.7679,66.11,84,36,11.27
65,Petropavlovka,RU,2022-05-21 02:54:23,50.6114,105.3196,78.15,27,14,6.85
66,Ribeira Grande,PT,2022-05-21 02:51:47,38.5167,-28.7,63.97,97,100,8.23
67,Sorong,ID,2022-05-21 02:52:20,-0.8833,131.25,87.94,58,31,4.63
68,Ilulissat,GL,2022-05-21 02:54:25,69.2167,-51.1,27.41,82,100,4.88
69,Port Hedland,AU,2022-05-21 02:54:25,-20.3167,118.5667,82.15,51,29,11.92
70,East London,ZA,2022-05-21 02:54:26,-33.0153,27.9116,61.5,71,100,8.05
71,Yellowknife,CA,2022-05-21 02:54:26,62.456,-114.3525,55.56,28,31,8.99
72,Ugoofaaru,MV,2022-05-21 02:54:27,5.6667,73.0,83.43,76,33,14.94
73,Tuktoyaktuk,CA,2022-05-21 02:52:06,69.4541,-133.0374,33.53,94,100,5.41
74,Fortuna,US,2022-05-21 02:54:28,40.5982,-124.1573,56.86,77,3,3.0
75,Norman Wells,CA,2022-05-21 02:54:28,65.282,-126.8329,53.73,59,82,10.56
76,Busselton,AU,2022-05-21 02:54:29,-33.65,115.3333,67.84,57,3,10.02
77,Tharad,IN,2022-05-21 02:54:29,24.3961,71.6267,86.43,60,1,21.09
78,Chernoyerkovskaya,RU,2022-05-21 02:54:29,45.4331,37.7686,58.3,78,100,16.49
79,Lorengau,PG,2022-05-21 02:54:30,-2.0226,147.2712,83.77,77,100,9.44
80,Ambon,ID,2022-05-21 02:54:30,-3.6954,128.1814,83.7,71,37,13.31
81,Upernavik,GL,2022-05-21 02:54:31,72.7868,-56.1549,15.48,98,81,8.39
82,Zhezkazgan,KZ,2022-05-21 02:54:31,47.8043,67.7144,72.25,27,94,14.0
83,Katobu,ID,2022-05-21 02:54:32,-4.9408,122.5276,84.31,71,74,8.32
84,Port Keats,AU,2022-05-21 02:54:32,-14.25,129.55,92.19,35,0,9.33
85,Souillac,MU,2022-05-21 02:54:33,-20.5167,57.5167,73.62,80,31,15.39
86,Sweetwater,US,2022-05-21 02:54:33,25.7634,-80.3731,81.01,79,99,1.01
87,Zhuhai,CN,2022-05-21 02:55:33,22.2769,113.5678,88.86,68,55,5.55
88,Talnakh,RU,2022-05-21 02:55:34,69.4865,88.3972,43.21,89,95,8.39
89,Pemangkat,ID,2022-05-21 02:55:34,1.1667,108.9667,85.24,69,94,3.85
90,Port Elizabeth,ZA,2022-05-21 02:55:35,-33.918,25.5701,56.32,99,100,1.99
91,Havelock,US,2022-05-21 02:55:35,34.8791,-76.9013,76.98,93,12,8.99
92,Mount Isa,AU,2022-05-21 02:51:19,-20.7333,139.5,77.63,45,0,15.75
93,Isangel,VU,2022-05-21 02:55:36,-19.55,169.2667,80.47,83,25,22.48
94,Jibuti,DJ,2022-05-21 02:55:37,11.5,42.5,79.39,35,59,7.65
95,Henties Bay,NA,2022-05-21 02:55:37,-22.116,14.2845,54.68,72,0,11.21
96,Neder Vindinge,DK,2022-05-21 02:55:37,55.0321,11.8836,52.03,88,100,14.63
97,Khatanga,RU,2022-05-21 02:51:13,71.9667,102.5,42.33,73,100,12.86
98,Nea Ankhialos,GR,2022-05-21 02:55:38,39.2833,22.8167,52.56,71,1,4.83
99,Saint George,US,2022-05-21 02:54:25,37.1041,-113.5841,65.25,12,1,7.0
100,Jacmel,HT,2022-05-21 02:55:39,18.2342,-72.5347,77.45,86,77,3.15
101,Usinsk,RU,2022-05-21 02:55:39,65.9939,57.5281,31.87,68,100,14.99
102,Tupik,RU,2022-05-21 02:55:40,54.4253,119.9327,57.78,49,99,6.17
103,Meulaboh,ID,2022-05-21 02:55:40,4.1363,96.1285,83.39,71,100,2.13
104,Chuy,UY,2022-05-21 02:55:41,-33.6971,-53.4616,47.88,87,44,6.15
105,La Asuncion,VE,2022-05-21 02:55:41,11.0333,-63.8628,77.95,82,0,16.42
106,Koygorodok,RU,2022-05-21 02:55:41,60.445,50.9968,33.33,96,100,6.85
107,Coahuayana,MX,2022-05-21 02:55:42,18.7333,-103.6833,72.95,86,6,2.35
108,Menongue,AO,2022-05-21 02:55:42,-14.6585,17.691,51.3,73,57,2.8
109,Salym,RU,2022-05-21 02:55:43,60.0625,71.4789,42.58,72,91,12.03
110,Cockburn Town,TC,2022-05-21 02:55:43,21.4612,-71.1419,80.04,85,94,16.64
111,Ola,RU,2022-05-21 02:55:44,59.5833,151.2833,41.14,97,100,14.38
112,Kasongo,CD,2022-05-21 02:55:44,-4.45,26.6667,68.88,75,100,1.99
113,Yumen,CN,2022-05-21 02:55:45,40.2833,97.2,76.77,18,0,18.23
114,Hobyo,SO,2022-05-21 02:53:19,5.3505,48.5268,78.78,83,85,19.71
115,Oktyabrskoye,RU,2022-05-21 02:55:45,43.0645,44.7417,45.9,82,7,6.64
116,Ancud,CL,2022-05-21 02:55:46,-41.8697,-73.8203,51.37,93,100,11.12
117,Lagoa,PT,2022-05-21 02:55:46,39.05,-27.9833,61.95,98,100,13.2
118,Codrington,AU,2022-05-21 02:55:47,-38.2667,141.9667,59.13,55,5,7.09
119,Mikhaylovka,RU,2022-05-21 02:55:47,50.06,43.2379,41.7,67,68,5.06
120,Palmer,US,2022-05-21 02:51:07,42.1584,-72.3287,64.15,81,100,4.0
121,Roma,US,2022-05-21 02:52:56,43.2128,-75.4557,69.87,82,95,1.99
122,Skjervoy,NO,2022-05-21 02:55:48,70.0311,20.9714,41.16,67,55,6.67
123,Axim,GH,2022-05-21 02:55:48,4.8699,-2.2405,78.03,87,100,7.72
124,Antofagasta,CL,2022-05-21 02:52:01,-23.65,-70.4,62.38,74,96,5.5
125,Barrow,US,2022-05-21 02:55:49,71.2906,-156.7887,32.13,99,100,4.85
126,Avarua,CK,2022-05-21 02:55:49,-21.2078,-159.775,77.61,73,87,10.31
127,Hamilton,US,2022-05-21 02:55:50,39.1834,-84.5333,80.91,66,0,4.0
128,Cherskiy,RU,2022-05-21 02:55:51,68.75,161.3,58.62,36,15,13.22
129,Bengkulu,ID,2022-05-21 02:55:51,-3.8004,102.2655,84.15,65,61,2.46
130,Husavik,IS,2022-05-21 02:55:51,66.0449,-17.3389,46.35,83,77,4.34
131,Porto Santo,PT,2022-05-21 02:55:52,33.072,-16.3415,64.87,77,0,14.79
132,Tasiilaq,GL,2022-05-21 02:55:52,65.6145,-37.6368,28.42,80,5,6.31
133,Mao,ES,2022-05-21 02:55:53,39.8885,4.2658,67.15,78,11,6.93
134,Bambous Virieux,MU,2022-05-21 02:56:53,-20.3428,57.7575,74.21,75,44,16.98
135,Zhigansk,RU,2022-05-21 02:56:54,66.7697,123.3711,42.22,71,6,4.99
136,Owando,CG,2022-05-21 02:56:54,-0.4819,15.8999,71.44,99,100,2.86
137,Carutapera,BR,2022-05-21 02:53:16,-1.195,-46.02,72.63,96,100,4.23
138,Teguise,ES,2022-05-21 02:56:55,29.0605,-13.564,62.28,82,5,17.94
139,Nikolskoye,RU,2022-05-21 02:56:55,59.7035,30.7861,41.92,71,61,4.9
140,Bonthe,SL,2022-05-21 02:56:56,7.5264,-12.505,78.48,86,100,7.38
141,Luderitz,NA,2022-05-21 02:56:56,-26.6481,15.1594,50.23,72,0,9.84
142,Joao Pinheiro,BR,2022-05-21 02:56:57,-17.7425,-46.1725,51.53,56,0,5.86
143,Leningradskiy,RU,2022-05-21 02:56:57,69.3833,178.4167,33.3,98,88,9.55
144,Carnarvon,AU,2022-05-21 02:56:57,-24.8667,113.6333,73.71,46,0,4.63
145,Santiago,CL,2022-05-21 02:53:25,-33.4569,-70.6483,56.86,72,0,2.08
146,Seattle,US,2022-05-21 02:56:36,47.6062,-122.3321,60.82,63,29,4.0
147,Aklavik,CA,2022-05-21 02:56:58,68.2191,-135.0107,42.78,81,90,10.98
148,Pindushi,RU,2022-05-21 02:56:59,62.9152,34.58,34.83,68,95,4.72
149,Kaduqli,SD,2022-05-21 02:56:59,11.0167,29.7167,83.5,50,98,5.37
150,Muncie,US,2022-05-21 02:54:18,40.1934,-85.3864,79.2,66,0,8.01
151,Sisimiut,GL,2022-05-21 02:57:00,66.9395,-53.6735,36.27,64,100,5.48
152,Saint-Georges,GD,2022-05-21 02:57:00,12.0564,-61.7485,80.46,71,43,15.41
153,Mwense,ZM,2022-05-21 02:57:01,-10.3845,28.698,61.81,77,68,3.04
154,Castro,BR,2022-05-21 02:57:01,-24.7911,-50.0119,42.75,86,0,2.28
155,Stornoway,GB,2022-05-21 02:57:02,58.2093,-6.3865,48.92,93,54,3.0
156,Geraldton,AU,2022-05-21 02:57:02,-28.7667,114.6,71.46,49,0,2.59
157,Bardstown,US,2022-05-21 02:57:03,37.8092,-85.4669,79.79,69,3,4.0
158,Kenora,CA,2022-05-21 02:57:03,49.8167,-94.4337,35.78,93,100,8.01
159,Dakar,SN,2022-05-21 02:57:03,14.6937,-17.4441,73.11,81,47,14.03
160,Ntungamo,UG,2022-05-21 02:57:04,-0.8833,29.65,63.01,86,100,3.58
161,Angoram,PG,2022-05-21 02:57:04,-4.0625,144.0661,83.34,82,91,3.83
162,Cerrito,CO,2022-05-21 02:57:05,6.8432,-72.694,48.63,86,44,6.73
163,Euclides Da Cunha,BR,2022-05-21 02:57:05,-10.5075,-39.0158,67.6,76,100,5.57
164,Nome,US,2022-05-21 02:57:06,64.5011,-165.4064,66.11,38,100,10.4
165,Thompson,CA,2022-05-21 02:57:06,55.7435,-97.8558,35.04,76,100,9.91
166,Esperance,AU,2022-05-21 02:57:07,-33.8667,121.9,68.85,54,25,4.68
167,Felanitx,ES,2022-05-21 02:57:07,39.4696,3.1483,67.14,74,85,3.69
168,Baykit,RU,2022-05-21 02:57:07,61.67,96.37,62.08,50,99,5.91
169,Caravelas,BR,2022-05-21 02:57:08,-17.7125,-39.2481,68.83,72,0,5.61
170,Chokurdakh,RU,2022-05-21 02:57:08,70.6333,147.9167,35.51,100,89,7.14
171,Hilo,US,2022-05-21 02:55:29,19.7297,-155.09,84.27,86,28,3.0
172,Saint-Joseph,RE,2022-05-21 02:53:36,-21.3667,55.6167,65.1,81,17,12.01
173,Iqaluit,CA,2022-05-21 02:57:09,63.7506,-68.5145,27.7,92,94,8.99
174,Gornopravdinsk,RU,2022-05-21 02:57:10,60.05,69.9,41.67,71,91,10.8
175,Kavaratti,IN,2022-05-21 02:57:10,10.5669,72.642,83.59,75,66,15.77
176,Bethel,US,2022-05-21 02:53:11,41.3712,-73.414,63.45,92,100,3.47
177,Arraial Do Cabo,BR,2022-05-21 02:57:11,-22.9661,-42.0278,67.33,78,60,11.27
178,Tilichiki,RU,2022-05-21 02:53:30,60.4667,166.1,38.44,88,100,3.83
179,Mahebourg,MU,2022-05-21 02:57:11,-20.4081,57.7,74.25,76,36,16.82
180,Wattegama,LK,2022-05-21 02:57:12,6.7989,81.4808,84.65,63,43,11.86
181,Nazarovo,RU,2022-05-21 02:57:12,56.0064,90.3914,65.14,47,100,18.39
182,Ouadda,CF,2022-05-21 02:57:13,8.0777,22.4007,67.64,97,100,4.59
183,Sao Filipe,CV,2022-05-21 02:58:13,14.8961,-24.4956,72.19,75,98,7.36
184,Cabo San Lucas,MX,2022-05-21 02:53:26,22.8909,-109.9124,74.61,70,0,8.99
185,Panzhihua,CN,2022-05-21 02:58:14,26.5851,101.7128,67.26,70,100,2.66
186,Buala,SB,2022-05-21 02:58:14,-8.145,159.5921,83.37,71,73,5.57
187,Rabaul,PG,2022-05-21 02:58:15,-4.1967,152.1721,82.9,70,22,5.23
188,Arlit,NE,2022-05-21 02:58:15,18.7369,7.3853,84.42,27,4,7.4
189,Veselynove,UA,2022-05-21 02:58:16,47.3567,31.2349,58.84,56,12,8.37
190,Faya,SA,2022-05-21 02:58:16,18.3851,42.4509,65.55,18,2,7.85
191,Daphne,US,2022-05-21 02:58:17,30.6035,-87.9036,79.86,69,0,1.99
192,Salalah,OM,2022-05-21 02:58:17,17.0151,54.0924,79.47,81,79,2.73
193,Hasaki,JP,2022-05-21 02:58:17,35.7333,140.8333,67.93,68,100,11.43
194,Kahului,US,2022-05-21 02:58:18,20.8947,-156.47,82.85,79,49,7.0
195,Shelburne,CA,2022-05-21 02:54:37,44.0787,-80.2041,73.6,72,99,18.84
196,Tombouctou,ML,2022-05-21 02:58:19,20.0,-3.0,86.65,13,71,6.29
197,Barauna,BR,2022-05-21 02:58:19,-5.08,-37.6167,73.78,91,84,5.23
198,Joshimath,IN,2022-05-21 02:58:20,30.5667,79.5667,72.25,36,4,3.53
199,Talcahuano,CL,2022-05-21 02:57:51,-36.7167,-73.1167,51.49,86,8,3.09
200,Atuona,PF,2022-05-21 02:58:20,-9.8,-139.0333,77.65,67,0,8.66
201,Gamba,GA,2022-05-21 02:58:21,-2.65,10.0,74.86,90,90,5.28
202,Avera,US,2022-05-21 02:58:21,33.194,-82.5271,76.55,55,77,8.21
203,Georgetown,MY,2022-05-21 02:58:04,5.4112,100.3354,88.95,70,95,3.0
204,Lasa,IT,2022-05-21 02:58:22,46.6166,10.7002,57.36,81,81,4.92
205,Camana,PE,2022-05-21 02:58:22,-16.6228,-72.7111,64.78,84,88,8.16
206,Kaspiyskiy,RU,2022-05-21 02:58:23,45.3929,47.3707,54.9,79,33,18.97
207,Hithadhoo,MV,2022-05-21 02:58:23,-0.6,73.0833,82.96,71,18,8.34
208,Santa Maria,BR,2022-05-21 02:57:05,-29.6842,-53.8069,47.55,87,0,3.71
209,Port Hardy,CA,2022-05-21 02:58:24,50.6996,-127.4199,51.49,77,0,10.13
210,Mar Del Plata,AR,2022-05-21 02:54:53,-38.0023,-57.5575,50.95,81,95,1.99
211,Umm Kaddadah,SD,2022-05-21 02:58:25,13.6017,26.6876,76.06,14,57,6.08
212,Matadi,CD,2022-05-21 02:58:25,-5.8167,13.45,70.66,93,100,2.98
213,Najran,SA,2022-05-21 02:58:26,17.4924,44.1277,73.0,16,58,1.92
214,Los Llanos De Aridane,ES,2022-05-21 02:58:26,28.6585,-17.9182,61.12,87,15,4.0
215,Batagay,RU,2022-05-21 02:58:27,67.6333,134.6333,47.8,49,15,3.67
216,Vanimo,PG,2022-05-21 02:58:27,-2.6741,141.3028,86.02,66,61,7.58
217,Ekhabi,RU,2022-05-21 02:58:28,53.5102,142.9671,40.28,75,100,14.25
218,Praia Da Vitoria,PT,2022-05-21 02:58:28,38.7333,-27.0667,63.75,98,96,7.72
219,Qasigiannguit,GL,2022-05-21 02:58:28,68.8193,-51.1922,26.4,82,100,4.72
220,Mamanguape,BR,2022-05-21 02:58:29,-6.8386,-35.1261,72.77,96,78,5.32
221,Hanna,CA,2022-05-21 02:56:11,51.6334,-111.9018,42.85,45,100,8.99
222,Markova,UA,2022-05-21 02:58:30,48.6758,24.4138,57.24,68,97,10.11
223,Kununurra,AU,2022-05-21 02:58:30,-15.7667,128.7333,90.93,29,0,17.83
224,Warrington,GB,2022-05-21 02:54:04,53.3925,-2.5802,54.45,81,61,5.01
225,Severo-Kurilsk,RU,2022-05-21 02:58:31,50.6789,156.125,43.52,89,100,14.58
226,Klaksvik,FO,2022-05-21 02:58:31,62.2266,-6.589,48.09,96,100,12.62
227,Touros,BR,2022-05-21 02:56:53,-5.1989,-35.4608,77.07,88,90,6.67
228,Flinders,AU,2022-05-21 02:58:32,-34.5833,150.8552,66.38,71,88,3.0
229,Saint Anthony,US,2022-05-21 02:59:33,45.0205,-93.218,52.02,70,92,12.24
230,Calvinia,ZA,2022-05-21 02:59:33,-31.4707,19.776,40.77,72,8,4.47
231,Le Port,RE,2022-05-21 02:59:34,-20.9373,55.2919,70.25,70,6,4.68
232,Saint-Augustin,CA,2022-05-21 02:59:34,51.226,-58.6502,49.44,62,69,7.14
233,Inhambane,MZ,2022-05-21 02:59:34,-23.865,35.3833,74.48,88,75,13.53
234,Byron Bay,AU,2022-05-21 02:57:52,-28.65,153.6167,62.71,83,100,13.0
235,Kaitangata,NZ,2022-05-21 02:59:35,-46.2817,169.8464,44.98,78,99,22.55
236,Pacific Grove,US,2022-05-21 02:59:36,36.6177,-121.9166,63.82,72,3,8.01
237,Naryan-Mar,RU,2022-05-21 02:59:36,67.6713,53.087,28.81,81,100,12.28
238,Nuuk,GL,2022-05-21 02:59:36,64.1835,-51.7216,34.54,80,100,4.09
239,Peniche,PT,2022-05-21 02:59:37,39.3558,-9.3811,73.11,70,98,6.15
240,Tsumeb,NA,2022-05-21 02:59:37,-19.2333,17.7167,44.51,25,0,8.25
241,Washim,IN,2022-05-21 02:59:38,20.1,77.15,88.14,35,99,16.15
242,Quatre Cocos,MU,2022-05-21 02:59:38,-20.2078,57.7625,73.09,74,56,16.98
243,Piranhas,BR,2022-05-21 02:59:39,-16.4269,-51.8222,53.65,54,11,5.61
244,Guerrero Negro,MX,2022-05-21 02:59:39,27.9769,-114.0611,63.64,77,0,12.91
245,Farafangana,MG,2022-05-21 02:59:39,-22.8167,47.8333,68.4,78,92,3.24
246,Athabasca,CA,2022-05-21 02:59:40,54.7169,-113.2854,42.15,51,100,5.03
247,Orocue,CO,2022-05-21 02:59:41,4.7912,-71.3354,72.84,92,49,4.23
248,Grand-Santi,GF,2022-05-21 02:59:41,4.25,-54.3833,72.46,100,100,1.79
249,Dingle,PH,2022-05-21 02:59:41,10.9995,122.6711,83.08,71,98,6.02
250,Lavrentiya,RU,2022-05-21 02:59:42,65.5833,-171.0,36.03,94,39,8.03
251,Aguimes,ES,2022-05-21 02:59:42,27.9054,-15.4461,65.86,56,6,23.0
252,Aasiaat,GL,2022-05-21 02:59:43,68.7098,-52.8699,27.27,75,100,4.16
253,Muli,MV,2022-05-21 02:59:43,2.9167,73.5667,83.88,74,15,11.86
254,Debre Sina,ET,2022-05-21 02:59:44,9.85,39.7667,54.91,34,100,2.84
255,Odienne,CI,2022-05-21 02:59:44,9.51,-7.5692,74.44,77,57,3.58
256,Port Augusta,AU,2022-05-21 02:59:45,-32.5,137.7667,67.1,37,0,7.99
257,Bathsheba,BB,2022-05-21 02:59:45,13.2167,-59.5167,80.15,68,93,18.48
258,Kruisfontein,ZA,2022-05-21 02:59:46,-34.0033,24.7314,53.89,89,86,7.96
259,Uige,AO,2022-05-21 02:59:46,-7.6087,15.0613,63.07,97,28,2.53
260,Monastirakion,GR,2022-05-21 02:59:47,38.85,20.95,57.87,52,4,1.61
261,Limoeiro,BR,2022-05-21 02:59:47,-7.8747,-35.4503,71.87,94,99,2.91
